 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
          58065 ┊     48.23% ┊ table[0]
          32718 ┊     27.17% ┊   ⤷ elem[0]
          23645 ┊     19.64% ┊       ⤷ prueba::main::h27d9f2f80873677b
          15969 ┊     13.26% ┊           ⤷ core::ptr::drop_in_place<leptos_dom::View>::hf2a32b2fbf75ec5d
          14338 ┊     11.91% ┊               ⤷ <leptos_reactive::node::Disposer as core::ops::drop::Drop>::drop::h95695d2646876dc7
           8298 ┊      6.89% ┊                   ⤷ leptos_reactive::runtime::Runtime::dispose_node::hd79eec096de397de
           5608 ┊      4.66% ┊                       ⤷ leptos_reactive::runtime::Runtime::cleanup_node::hcb7b84c51626f5ff
           2181 ┊      1.81% ┊                           ⤷ hashbrown::raw::RawTable<T,A>::reserve_rehash::h8175544cd81c3a17
             82 ┊      0.07% ┊                               ⤷ hashbrown::raw::Fallibility::capacity_overflow::h3f6675b1b88cc6a3
             34 ┊      0.03% ┊                               ⤷ hashbrown::raw::Fallibility::alloc_err::h2a212a750787088b
           1086 ┊      0.90% ┊                           ⤷ core::hash::BuildHasher::hash_one::h252c96d5537b2865
            625 ┊      0.52% ┊                               ⤷ <core::hash::sip::Hasher<S> as core::hash::Hasher>::write::h9dae6ebdf347ada4
              6 ┊      0.00% ┊                               ⤷ type[6]: (i32, i32) -> i64
            350 ┊      0.29% ┊                           ⤷ hashbrown::rustc_entry::<impl hashbrown::map::HashMap<K,V,S,A>>::rustc_entry::h825c2b4652a4f746
            350 ┊      0.29% ┊                           ⤷ hashbrown::rustc_entry::<impl hashbrown::map::HashMap<K,V,S,A>>::rustc_entry::hcc69db36b58906d3
           1525 ┊      1.27% ┊                       ⤷ indexmap::set::IndexSet<T,S>::swap_remove::h8116851219c1948c
            487 ┊      0.40% ┊                           ⤷ hashbrown::raw::inner::RawTable<T,A>::remove_entry::hf234694634322f44
              7 ┊      0.01% ┊                               ⤷ type[17]: (i32, i32, i64, i32) -> nil
            365 ┊      0.30% ┊                           ⤷ hashbrown::raw::inner::RawTable<T,A>::erase_entry::ha99f3617d48c2227
              7 ┊      0.01% ┊                               ⤷ type[21]: (i32, i64, i32) -> i32
            107 ┊      0.09% ┊                           ⤷ alloc::vec::Vec<T,A>::swap_remove::assert_failed::hadf7a5208251ce69
           5979 ┊      4.97% ┊                   ⤷ std::sys::thread_local::static_local::LazyStorage<T>::initialize::hcc7341b65334e91a
           2211 ┊      1.84% ┊                       ⤷ leptos_reactive::runtime::Runtime::new::h342205dbead75d5e
            598 ┊      0.50% ┊                           ⤷ <leptos_reactive::hydration::SharedContext as core::default::Default>::default::hcafc2c51ba049654
            116 ┊      0.10% ┊                               ⤷ core::ops::function::FnOnce::call_once::hedfe4d78783962f5
            400 ┊      0.33% ┊                           ⤷ alloc::raw_vec::RawVec<T,A>::grow_one::hd5df39f918cf2ec9
            197 ┊      0.16% ┊                               ⤷ alloc::raw_vec::finish_grow::hfeb43334618c036a
            501 ┊      0.42% ┊                       ⤷ <hashbrown::raw::RawTable<T,A> as core::ops::drop::Drop>::drop::h0d9e8b00d1bc74bf
            440 ┊      0.37% ┊                       ⤷ <hashbrown::raw::RawTable<T,A> as core::ops::drop::Drop>::drop::hdf6428cbd14653d6
            366 ┊      0.30% ┊                       ⤷ <hashbrown::raw::RawTable<T,A> as core::ops::drop::Drop>::drop::hdbf23e621d73a903
            337 ┊      0.28% ┊                       ⤷ <slotmap::basic::Slot<T> as core::ops::drop::Drop>::drop::hce512df92d29dfdb
            298 ┊      0.25% ┊                       ⤷ <slotmap::basic::Slot<T> as core::ops::drop::Drop>::drop::h6f6d96e4095ed8c0
            175 ┊      0.15% ┊                       ⤷ <alloc::rc::Rc<T,A> as core::ops::drop::Drop>::drop::h24133294c6fa772d
             49 ┊      0.04% ┊                       ⤷ <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop::hfe36c2aad310e909
            160 ┊      0.13% ┊               ⤷ core::ptr::drop_in_place<leptos_dom::Comment>::h5376f8c023728b95
           3439 ┊      2.86% ┊           ⤷ unic_langid_impl::LanguageIdentifier::from_bytes::h65b40d9e8d67f7ad
           3321 ┊      2.76% ┊               ⤷ unic_langid_impl::parser::parse_language_identifier::h3786a48a2b8e928d
            525 ┊      0.44% ┊                   ⤷ unic_langid_impl::subtags::variant::Variant::from_bytes::h6e6cf1d4c868979c
            404 ┊      0.34% ┊                   ⤷ alloc::raw_vec::RawVec<T,A>::grow_one::h0d311242a96a9094
            203 ┊      0.17% ┊                       ⤷ alloc::raw_vec::finish_grow::hc30ea974351cb5db
            402 ┊      0.33% ┊                   ⤷ unic_langid_impl::subtags::region::Region::from_bytes::h009ef266d5b0c8b1
            391 ┊      0.32% ┊                   ⤷ unic_langid_impl::subtags::language::Language::from_bytes::h7cbc082a8ccafa4f
            107 ┊      0.09% ┊                   ⤷ alloc::vec::Vec<T,A>::insert::assert_failed::h8e7424c68290c1f3
           1902 ┊      1.58% ┊           ⤷ <leptos_dom::View as leptos_dom::Mountable>::get_mountable_node::hcce2a6bdeea42c3c
            495 ┊      0.41% ┊               ⤷ leptos_dom::prepare_to_move::h5925a5819b5e514d
             69 ┊      0.06% ┊                   ⤷ web_sys::features::gen_Node::Node::next_sibling::hd18444b5bdf85638
             41 ┊      0.03% ┊                       ⤷ import wbg::__wbg_nextSibling_f6396d6fd0b97830
             51 ┊      0.04% ┊                   ⤷ js_sys::Object::is::h86123cbe089df2f4
             32 ┊      0.03% ┊                       ⤷ import wbg::__wbg_is_009b1ef508712fda
            466 ┊      0.39% ┊               ⤷ <leptos_dom::View as leptos_dom::Mountable>::get_opening_node::h32fcf974974e602e
            338 ┊      0.28% ┊               ⤷ <leptos_dom::components::dyn_child::DynChildRepr as leptos_dom::Mountable>::get_mountable_node::h64d4ee1f9f7bcdc3
             51 ┊      0.04% ┊                   ⤷ web_sys::features::gen_Node::Node::child_nodes::he4b049ea766ba322
             40 ┊      0.03% ┊                       ⤷ import wbg::__wbg_childNodes_031aa96d5e3d21b0
             47 ┊      0.04% ┊                   ⤷ web_sys::features::gen_NodeList::NodeList::length::hee25d54ac7153fc4
             36 ┊      0.03% ┊                       ⤷ import wbg::__wbg_length_4919f4a62b9b1e94
            221 ┊      0.18% ┊               ⤷ <leptos_dom::components::each::EachRepr as leptos_dom::Mountable>::get_mountable_node::hb3b5be7b71ca2976
            146 ┊      0.12% ┊               ⤷ <leptos_dom::components::ComponentRepr as leptos_dom::Mountable>::get_mountable_node::ha1b02133895242ae
            511 ┊      0.42% ┊           ⤷ leptos_dom::html::p::he5264885b0ff9ac6
            443 ┊      0.37% ┊               ⤷ std::thread::local::LocalKey<T>::with::h039e62bcc8f4fe83
            109 ┊      0.09% ┊                   ⤷ web_sys::features::gen_Node::Node::clone_node::hdd2c1961eb9f09a5
             39 ┊      0.03% ┊                       ⤷ import wbg::__wbg_cloneNode_629a1b180e91c467
             24 ┊      0.02% ┊                   ⤷ core::ptr::drop_in_place<core::result::Result<(),web_sys::features::gen_HtmlElement::HtmlElement>>::hc7a1199ce2b59cff
              9 ┊      0.01% ┊               ⤷ core::ops::function::FnOnce::call_once::h38a709df7f5860ef
            351 ┊      0.29% ┊           ⤷ <unic_langid_impl::LanguageIdentifier as core::fmt::Display>::fmt::hc4440e103c362faf
             22 ┊      0.02% ┊               ⤷ <core::fmt::Formatter as core::fmt::Write>::write_char::h13fd090f1c198264
             16 ┊      0.01% ┊               ⤷ tinystr::int_ops::Aligned4::len::h0fc082e3e8fb0128
            265 ┊      0.22% ┊           ⤷ leptos_dom::Text::new::hcfcd813ef2c2f66e
            115 ┊      0.10% ┊               ⤷ web_sys::features::gen_Document::Document::create_text_node::h7df57c002733d7bd
             44 ┊      0.04% ┊                   ⤷ import wbg::__wbg_createTextNode_8bce33cf33bf8f6e
            116 ┊      0.10% ┊           ⤷ web_sys::features::gen_Node::Node::append_child::h805810c8081e892b
             41 ┊      0.03% ┊               ⤷ import wbg::__wbg_appendChild_ac45d1abddf1b89b
            107 ┊      0.09% ┊           ⤷ core::panicking::panic_bounds_check::h125c3a5dd588952f
             92 ┊      0.08% ┊           ⤷ core::option::expect_failed::h9d0c8588efc786aa
             62 ┊      0.05% ┊           ⤷ web_sys::features::gen_Document::Document::body::hef279b4db9eff134
             34 ┊      0.03% ┊               ⤷ import wbg::__wbg_body_b3bb488e8e54bf4b
             44 ┊      0.04% ┊           ⤷ leptos_dom::document::hc1842fe4860704c4
             17 ┊      0.01% ┊           ⤷ tinystr::int_ops::Aligned8::len::h560f9c42c37b3b4c
            837 ┊      0.70% ┊       ⤷ core::fmt::Formatter::pad_integral::h3b852ddc8b8cc407
             68 ┊      0.06% ┊           ⤷ core::fmt::Formatter::pad_integral::write_prefix::h745ddf5ae84995ed
            735 ┊      0.61% ┊       ⤷ core::ops::function::FnOnce::call_once::hce1ab24bf9299c38
            707 ┊      0.59% ┊           ⤷ std::sys::thread_local::static_local::LazyStorage<T>::initialize::h0d38cd32fe811104
